,Value
Accuracy,0.8635471941913071
Mean Per Class Accuracy,0.7694860705496205
Mean I/U,0.547227013289101
Bicyclist,0.4070423714620667
Building,0.689949862826052
Car,0.6788541978070435
Column_Pole,0.20601162521464353
Fence,0.3765839989397181
Pedestrian,0.3059579048648252
Road,0.8879599215633026
Sidewalk,0.7279014229507812
SignSymbol,0.1558947983074302
Sky,0.8881815053127633
VegetationMisc,0.6951595369314854
