,Value
Accuracy,0.8515638209157749
Mean Per Class Accuracy,0.6169430055368262
Mean I/U,0.49459588949946093
Bicyclist,0.21451876019575855
Building,0.6974364948723688
Car,0.6038139462959249
Column_Pole,0.22604324468257367
Fence,0.2854341160026438
Pedestrian,0.33718549551468674
Road,0.8371040338559348
Sidewalk,0.5748940772488422
SignSymbol,0.1493246931624082
Sky,0.8751481668118583
VegetationMisc,0.6396517558510699
