,Value
Accuracy,0.8886252070472904
Mean Per Class Accuracy,0.7220783336858219
Mean I/U,0.5774552422390872
Bicyclist,0.4352628773370713
Building,0.7437349285681268
Car,0.7005051361962679
Column_Pole,0.2540890742838773
Fence,0.38543086451588104
Pedestrian,0.39329751467077273
Road,0.8956522806167273
Sidewalk,0.7476933552381995
SignSymbol,0.21935469658292647
Sky,0.8882083402513625
VegetationMisc,0.6887785963687456
